0.00E+00,799
2.55E-05,795
5.10E-05,792
7.65E-05,799
1.02E-04,784
1.28E-04,788
1.53E-04,781
1.79E-04,780
2.04E-04,774
2.30E-04,776
2.55E-04,765
2.81E-04,773
3.06E-04,746
3.32E-04,728
3.57E-04,717
3.83E-04,700
4.08E-04,695
4.34E-04,674
4.59E-04,671
4.85E-04,648
5.10E-04,641
5.36E-04,596
5.61E-04,587
5.87E-04,563
6.12E-04,545
6.38E-04,541
6.63E-04,524
6.89E-04,512
7.14E-04,461
7.40E-04,435
7.65E-04,402
7.91E-04,401
8.16E-04,376
8.42E-04,380
8.67E-04,361
8.93E-04,352
9.18E-04,323
9.44E-04,291
9.69E-04,286
9.95E-04,262
1.02E-03,268
1.05E-03,251
1.07E-03,269
1.10E-03,232
1.12E-03,244
1.15E-03,224
1.17E-03,223
1.20E-03,236
1.22E-03,218
1.25E-03,235
1.28E-03,221
1.30E-03,253
1.33E-03,243
1.35E-03,273
1.38E-03,266
1.40E-03,287
1.43E-03,290
1.45E-03,288
1.48E-03,312
1.50E-03,297
1.53E-03,353
1.56E-03,360
1.58E-03,395
1.61E-03,377
1.63E-03,397
1.66E-03,414
1.68E-03,387
1.71E-03,456
1.73E-03,422
1.76E-03,470
1.79E-03,445
1.81E-03,454
1.84E-03,486
1.86E-03,487
1.89E-03,516
1.91E-03,474
1.94E-03,537
1.96E-03,500
1.99E-03,542
2.01E-03,526
2.04E-03,515
2.07E-03,537
2.09E-03,514
2.12E-03,563
2.14E-03,528
2.17E-03,569
2.19E-03,539
2.22E-03,552
2.24E-03,571
2.27E-03,537
2.30E-03,555
2.32E-03,519
2.35E-03,546
2.37E-03,549
2.40E-03,568
2.42E-03,570
2.45E-03,578
2.47E-03,581
2.50E-03,577
2.52E-03,589
2.55E-03,607
2.58E-03,661
2.60E-03,638
2.63E-03,665
2.65E-03,671
2.68E-03,675
2.70E-03,705
2.73E-03,712
2.75E-03,753
2.78E-03,817
2.81E-03,832
2.83E-03,839
2.86E-03,885
2.88E-03,905
2.91E-03,933
2.93E-03,964
2.96E-03,1032
2.98E-03,1145
3.01E-03,1082
3.03E-03,1151
3.06E-03,1163
3.09E-03,1175
3.11E-03,1210
3.14E-03,1229
3.16E-03,1344
3.19E-03,1392
3.21E-03,1413
3.24E-03,1419
3.26E-03,1461
3.29E-03,1450
3.32E-03,1504
3.34E-03,1495
3.37E-03,1550
3.39E-03,1604
3.42E-03,1572
3.44E-03,1615
3.47E-03,1584
3.49E-03,1643
3.52E-03,1613
3.54E-03,1649
3.57E-03,1655
3.60E-03,1636
3.62E-03,1634
3.65E-03,1611
3.67E-03,1635
3.70E-03,1597
3.72E-03,1623
3.75E-03,1568
3.77E-03,1573
3.80E-03,1518
3.83E-03,1524
3.85E-03,1497
3.88E-03,1457
3.90E-03,1476
3.93E-03,1424
3.95E-03,1403
3.98E-03,1291
4.00E-03,1239
4.03E-03,1195
4.05E-03,1182
4.08E-03,1182
4.11E-03,1104
4.13E-03,1135
4.16E-03,1044
4.18E-03,1014
4.21E-03,932
4.23E-03,918
4.26E-03,896
4.28E-03,847
4.31E-03,851
4.34E-03,799
4.36E-03,794
4.39E-03,710
4.41E-03,676
4.44E-03,667
4.46E-03,635
4.49E-03,635
4.51E-03,596
4.54E-03,608
4.56E-03,576
4.59E-03,561
4.62E-03,531
4.64E-03,521
4.67E-03,537
4.69E-03,509
4.72E-03,527
4.74E-03,506
4.77E-03,516
4.79E-03,511
4.82E-03,530
4.85E-03,538
4.87E-03,527
4.90E-03,560
4.92E-03,543
4.95E-03,560
4.97E-03,568
5.00E-03,585
5.02E-03,610
5.05E-03,597
5.07E-03,640
5.10E-03,614
5.13E-03,651
5.15E-03,620
5.18E-03,618
5.20E-03,653
5.23E-03,670
5.25E-03,711
5.28E-03,660
5.30E-03,708
5.33E-03,683
5.36E-03,683
5.38E-03,685
5.41E-03,662
5.43E-03,676
5.46E-03,631
5.48E-03,662
5.51E-03,602
5.53E-03,690
5.56E-03,635
5.58E-03,640
5.61E-03,586
5.64E-03,563
5.66E-03,576
5.69E-03,552
5.71E-03,596
5.74E-03,535
5.76E-03,536
5.79E-03,512
5.81E-03,495
5.84E-03,496
5.87E-03,458
5.89E-03,474
5.92E-03,440
5.94E-03,455
5.97E-03,442
5.99E-03,450
6.02E-03,462
6.04E-03,467
6.07E-03,481
6.09E-03,470
6.12E-03,501
6.15E-03,490
6.17E-03,513
6.20E-03,538
6.22E-03,554
6.25E-03,637
6.27E-03,642
6.30E-03,691
6.32E-03,707
6.35E-03,743
6.38E-03,768
6.40E-03,787
6.43E-03,888
6.45E-03,980
6.48E-03,1040
6.50E-03,1043
6.53E-03,1108
6.55E-03,1137
6.58E-03,1173
6.60E-03,1231
6.63E-03,1276
6.66E-03,1412
6.68E-03,1388
6.71E-03,1464
6.73E-03,1494
6.76E-03,1494
6.78E-03,1602
6.81E-03,1533
6.83E-03,1672
6.86E-03,1756
6.89E-03,1709
6.91E-03,1831
6.94E-03,1784
6.96E-03,1845
6.99E-03,1823
7.01E-03,1853
7.04E-03,1900
7.06E-03,1834
7.09E-03,1906
7.11E-03,1855
7.14E-03,1900
7.17E-03,1939
7.19E-03,1888
7.22E-03,1968
7.24E-03,1858
7.27E-03,1891
